id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost Per Year ($),Average IOPS,classification
1996,On-prem,8,1,8,65.37,79,358.6,1023,optimal
1997,AWS,1,1,8,69.94,47,161.8,896,optimal
1998,GCP,1,1,8,44.42,74,162.2,799,underutilized
1999,GCP,64,16,32,49.27,130,3341.2,1709,overutilized
2000,On-prem,4,2,8,96.25,193,258.8,858,overutilized
2001,GCP,64,16,32,40.38,121,3342.4,1686,underutilized
2002,GCP,32,16,16,63.33,49,2038.8,1284,optimal
2003,GCP,32,16,16,97.69,79,2035.2,970,overutilized
2004,On-prem,4,2,8,67.14,80,259.2,763,optimal
2005,AWS,64,16,32,89.04,142,3323.8,1712,overutilized
2006,AWS,32,16,16,87.27,50,2021.6,1361,overutilized
2007,AWS,2,1,8,80.93,94,203,854,overutilized
2008,GCP,8,1,8,59.37,129,444.4,940,underutilized
2009,AWS,1,1,8,87.5,108,163,782,overutilized
2010,GCP,4,1,8,94.71,117,283.4,791,overutilized
2011,GCP,8,2,8,92.11,97,486.4,810,overutilized
2012,AWS,8,2,8,80.26,47,486,729,overutilized
2013,On-prem,8,1,8,74.47,124,355.8,1027,optimal
2014,AWS,4,1,8,93.22,136,283,938,overutilized
2015,AWS,16,8,16,52.66,126,1050.6,1024,underutilized
2016,AWS,4,1,8,88.39,104,285.2,858,overutilized
2017,On-prem,1,1,8,91.43,207,130.6,912,overutilized
2018,GCP,1,1,8,74.27,55,162.6,754,optimal
2019,On-prem,16,4,16,56.16,150,712.8,1011,underutilized
2020,GCP,4,1,8,68.04,144,284.4,973,overutilized
2021,AWS,4,1,8,51.14,66,284.4,963,underutilized
2022,AWS,8,1,8,72.8,42,444.8,953,optimal
2023,GCP,16,8,16,95.97,107,1059.6,852,overutilized
2024,AWS,16,8,16,71.16,124,1058.8,1019,optimal
2025,AWS,32,16,16,80.46,122,2036.8,1108,overutilized
2026,GCP,8,2,8,48.11,87,484.8,832,underutilized
2027,GCP,4,1,8,46.7,67,284.2,691,underutilized
2028,On-prem,4,1,8,81.3,287,227.6,752,overutilized
2029,On-prem,64,16,32,94.14,111,2655,1333,overutilized
2030,On-prem,8,2,8,48.07,163,390.6,863,underutilized
2031,On-prem,16,4,16,50.47,249,714.4,1119,underutilized
2032,AWS,1,1,8,76.94,104,163.2,750,optimal
2033,GCP,16,4,16,84.99,52,890.2,886,overutilized
2034,AWS,16,4,16,85.63,57,896.8,1064,overutilized
2035,AWS,8,2,8,49.08,116,487.6,910,underutilized
2036,AWS,8,1,8,76.3,56,446.8,738,optimal
2037,AWS,4,1,8,45.69,96,283,899,underutilized
2038,GCP,2,1,8,85.95,58,203.6,906,overutilized
2039,AWS,8,1,8,52.27,134,447.4,771,underutilized
2040,AWS,16,8,16,56.35,53,1059.4,876,underutilized
2041,AWS,32,16,16,90.97,67,2020.4,1092,overutilized
2042,GCP,32,16,16,49.17,48,2039,1224,underutilized
2043,GCP,4,1,8,75.88,59,284.2,719,optimal
2044,On-prem,2,1,8,92.55,222,161.8,850,overutilized
2045,On-prem,64,16,32,57.04,236,2671,1707,overutilized
2046,GCP,16,8,16,50.96,150,1057.4,875,overutilized
2047,AWS,8,2,8,40.57,133,488,832,underutilized
2048,AWS,4,1,8,67.4,46,283.6,807,optimal
2049,AWS,2,1,8,59.09,80,202.6,822,underutilized
2050,AWS,32,16,16,58.66,105,2020.2,1201,underutilized
2051,AWS,16,8,16,47.72,119,1056.6,962,underutilized
2052,AWS,2,1,8,89.11,99,203,844,overutilized
2053,AWS,32,16,16,57.99,99,2025,1039,underutilized
2054,On-prem,32,16,16,47.68,234,1626.8,1355,underutilized
2055,On-prem,4,1,8,92.35,119,226.4,674,overutilized
2056,AWS,32,16,16,70.02,42,2029.8,954,optimal
2057,AWS,16,4,16,97.33,55,896,902,overutilized
2058,AWS,4,2,8,76.39,75,324.4,829,optimal
2059,On-prem,4,1,8,71.97,219,228.4,929,optimal
2060,AWS,2,1,8,58.39,68,202.8,802,underutilized
2061,AWS,64,16,32,43.69,113,3335.4,1578,underutilized
2062,On-prem,2,1,8,56.26,296,162.4,931,overutilized
2063,On-prem,8,1,8,74.02,219,358.2,885,optimal
2064,AWS,64,16,32,43.63,116,3341.8,1652,underutilized
2065,GCP,8,2,8,54.25,81,488.4,707,underutilized
2066,AWS,64,16,32,71.03,89,3337.4,1692,optimal
2067,AWS,64,16,32,55.72,112,3326.8,1315,underutilized
2068,AWS,1,1,8,91.07,109,163,858,overutilized
2069,On-prem,2,1,8,73.55,277,163.2,763,optimal
2070,AWS,32,16,16,59.76,56,2030,922,underutilized
2071,GCP,1,1,8,48.69,146,162.2,746,overutilized
2072,On-prem,8,1,8,40.54,191,357.4,823,underutilized
2073,AWS,4,1,8,55.7,99,284.6,738,underutilized
2074,AWS,1,1,8,59.8,94,161.6,941,underutilized
2075,AWS,4,1,8,46.28,145,285.2,877,overutilized
2076,On-prem,32,16,16,81.81,212,1631.6,1166,overutilized
2077,GCP,64,16,32,76.82,72,3326.6,1664,optimal
2078,GCP,2,1,8,77.08,143,204,799,overutilized
2079,AWS,4,2,8,54.72,130,323.6,841,underutilized
2080,GCP,1,1,8,68.03,132,162,756,optimal
2081,AWS,32,16,16,46.1,145,2028.4,1248,overutilized
2082,AWS,1,1,8,73.06,84,161.8,804,optimal
2083,AWS,1,1,8,61.38,131,163,908,optimal
2084,AWS,32,16,16,96.34,65,2023.6,1069,overutilized
2085,AWS,64,16,32,79.9,48,3332,1766,overutilized
2086,On-prem,2,1,8,96.91,95,161.6,729,overutilized
2087,AWS,64,16,32,48.82,42,3316.8,1721,overutilized
2088,GCP,64,16,32,54.76,149,3331.2,1525,overutilized
2089,AWS,32,16,16,70.79,112,2036.8,1136,optimal
2090,GCP,64,16,32,96.53,123,3337.6,1669,overutilized
2091,AWS,4,2,8,96.99,114,324.8,763,overutilized
2092,AWS,16,4,16,47.12,91,897.4,1130,underutilized
2093,AWS,4,1,8,52.27,133,283.6,967,underutilized
2094,GCP,64,16,32,48.38,114,3322.8,1244,underutilized
2095,On-prem,4,2,8,54.6,210,258.8,847,underutilized
2096,AWS,8,1,8,64.73,91,448.4,892,optimal
2097,GCP,32,16,16,66.24,141,2037.2,1282,overutilized
2098,GCP,16,4,16,74.98,82,891,1043,optimal
2099,AWS,8,2,8,53.35,120,486.2,905,underutilized
2100,AWS,32,16,16,62.33,120,2025.4,1266,optimal
2101,AWS,2,1,8,93.96,142,203.2,674,overutilized
2102,AWS,2,1,8,68.03,56,203.4,768,optimal
2103,AWS,1,1,8,53.15,121,162.2,798,underutilized
2104,AWS,2,1,8,62.15,131,204,790,optimal
2105,GCP,2,1,8,62.88,69,202.4,960,optimal
2106,AWS,8,2,8,46.5,48,486.2,878,underutilized
2107,GCP,64,16,32,84.24,44,3344.4,1657,overutilized
2108,On-prem,2,1,8,49.51,279,163,885,underutilized
2109,AWS,64,16,32,41.37,57,3337.6,1406,underutilized
2110,AWS,64,16,32,96.89,46,3335.2,1433,overutilized
2111,AWS,64,16,32,84.78,40,3321.6,1587,overutilized
2112,On-prem,1,1,8,65.75,269,130,762,optimal
2113,GCP,4,1,8,47.94,114,283.4,720,underutilized
2114,AWS,64,16,32,67.42,41,3332,1527,optimal
2115,GCP,8,2,8,95.92,101,488.2,988,overutilized
2116,AWS,1,1,8,40.47,98,162.4,858,underutilized
2117,GCP,32,16,16,53.82,74,2024.2,1338,underutilized
2118,AWS,1,1,8,47.24,87,162.4,719,underutilized
2119,AWS,64,16,32,40.86,100,3344.2,1727,overutilized
2120,On-prem,1,1,8,93.79,266,130,855,overutilized
2121,AWS,8,1,8,52.42,138,444.4,863,underutilized
2122,AWS,4,2,8,40.27,150,323.4,865,overutilized
2123,On-prem,4,2,8,84.85,200,260.8,679,overutilized
2124,AWS,32,16,16,59.55,88,2021.6,1286,underutilized
2125,GCP,64,16,32,69.01,124,3345.2,1506,optimal
2126,GCP,64,16,32,85.02,43,3312.8,1313,overutilized
2127,AWS,1,1,8,96.12,84,161.8,663,overutilized
2128,AWS,4,1,8,62.21,52,282.8,832,optimal
2129,AWS,2,1,8,72.47,101,203.4,723,optimal
2130,GCP,1,1,8,49.95,102,163,715,underutilized
2131,On-prem,2,1,8,62.56,263,162,756,optimal
2132,AWS,64,16,32,45.76,106,3321.8,1755,overutilized
2133,GCP,8,2,8,44.99,131,486,830,underutilized
2134,AWS,1,1,8,77.3,126,163,942,optimal
2135,AWS,32,16,16,62.28,43,2035.6,1313,optimal
2136,GCP,8,2,8,86.42,135,485.2,973,overutilized
2137,GCP,2,1,8,65.72,64,203.6,799,optimal
2138,GCP,4,1,8,46.47,96,283,879,underutilized
2139,AWS,8,1,8,79.65,114,445,931,optimal
2140,AWS,8,2,8,94.07,133,488.4,723,overutilized
2141,GCP,1,1,8,73.3,50,161.8,881,optimal
2142,GCP,8,1,8,89.73,96,446.6,920,overutilized
2143,AWS,32,16,16,62.89,80,2032.6,954,optimal
2144,AWS,8,1,8,62.68,108,445.4,815,optimal
2145,AWS,64,16,32,77.72,129,3333.6,1365,optimal
2146,GCP,32,16,16,83.9,82,2036,1219,overutilized
2147,GCP,2,1,8,73.98,52,202.6,891,optimal
2148,GCP,16,8,16,65.73,91,1059.4,862,optimal
2149,AWS,2,1,8,82.52,81,202.6,920,overutilized
2150,On-prem,2,1,8,58.72,245,162.6,822,underutilized
2151,On-prem,2,1,8,91.12,185,162.6,662,overutilized
2152,AWS,2,1,8,96.67,112,203,953,overutilized
2153,On-prem,32,16,16,89.99,236,1631.4,1241,overutilized
2154,On-prem,16,8,16,92.84,206,842.6,941,overutilized
2155,AWS,16,8,16,47.2,91,1055.6,962,underutilized
2156,AWS,64,16,32,65.18,41,3318.6,1660,optimal
2157,GCP,32,16,16,74.9,134,2028.2,1080,optimal
2158,AWS,64,16,32,59.08,41,3328,1485,underutilized
2159,AWS,2,1,8,87.16,127,202,700,overutilized
2160,AWS,32,16,16,42.52,126,2023.2,1159,underutilized
2161,AWS,2,1,8,90.1,143,203,765,overutilized
2162,AWS,4,2,8,60.77,95,324.4,949,optimal
2163,GCP,4,2,8,40.55,112,326.2,690,underutilized
2164,AWS,64,16,32,73.6,104,3316.2,1272,optimal
2165,AWS,8,1,8,96.08,67,444.6,966,overutilized
2166,AWS,2,1,8,41.41,69,202.8,694,underutilized
2167,GCP,32,16,16,84.7,91,2022.2,1354,overutilized
2168,On-prem,8,1,8,95.72,95,356.4,759,overutilized
2169,AWS,32,16,16,55.87,116,2037.2,961,underutilized
2170,On-prem,32,16,16,63.38,198,1625.8,1258,optimal
2171,AWS,32,16,16,61.38,130,2035.8,1287,optimal
2172,AWS,4,2,8,49.03,42,324.6,927,underutilized
2173,AWS,16,8,16,87.34,54,1051.6,996,overutilized
2174,GCP,32,16,16,45.5,42,2038,1224,underutilized
2175,AWS,1,1,8,58.55,110,162.2,794,underutilized
2176,AWS,32,16,16,64.29,89,2036.2,1312,optimal
2177,AWS,2,1,8,61.31,124,203.2,947,optimal
2178,GCP,32,16,16,74.65,53,2028.2,1252,optimal
2179,On-prem,4,2,8,94.54,65,261,967,overutilized
2180,GCP,32,16,16,91.74,80,2023.8,1314,overutilized
2181,On-prem,4,2,8,68.24,211,260.8,775,optimal
2182,On-prem,8,2,8,82.71,72,391,1047,overutilized
2183,GCP,1,1,8,63.62,80,162.8,652,optimal
2184,AWS,2,1,8,56.36,68,203.4,823,underutilized
2185,On-prem,32,16,16,69.68,169,1630,936,optimal
2186,AWS,32,16,16,85.32,142,2039,945,overutilized
2187,On-prem,2,1,8,41.23,126,162.8,839,underutilized
2188,On-prem,64,16,32,82.26,77,2652.6,1691,overutilized
2189,AWS,8,1,8,83.69,96,445.4,879,overutilized
2190,AWS,64,16,32,47.02,40,3321.2,1527,underutilized
2191,AWS,1,1,8,68.84,149,162.2,944,overutilized
2192,GCP,4,2,8,42.36,136,323.6,927,underutilized
2193,GCP,1,1,8,75.89,138,162.6,935,optimal
2194,On-prem,64,16,32,64.18,261,2675.4,1371,optimal
2195,AWS,4,1,8,47.06,116,284,961,underutilized
2196,GCP,16,4,16,76.68,137,897.4,1145,optimal
2197,AWS,1,1,8,94.05,128,162.6,671,overutilized
2198,AWS,1,1,8,89.28,98,162,929,overutilized
2199,GCP,16,8,16,43.68,68,1059,976,underutilized
2200,On-prem,4,2,8,82.43,284,259.8,988,overutilized
2201,AWS,2,1,8,76.41,93,202.2,809,optimal
2202,On-prem,2,1,8,96.76,208,162.8,953,overutilized
2203,AWS,8,2,8,92.24,149,486,1028,overutilized
2204,AWS,1,1,8,75.71,148,162,830,overutilized
2205,On-prem,32,16,16,76.59,249,1622.8,1035,optimal
2206,GCP,4,1,8,76.92,127,283.8,675,optimal
2207,AWS,2,1,8,58.66,132,204,873,underutilized
2208,On-prem,32,16,16,76.18,160,1616.8,1044,optimal
2209,AWS,4,1,8,78.57,115,283.6,715,optimal
2210,AWS,32,16,16,86.49,88,2033.8,1342,overutilized
2211,AWS,32,16,16,49.07,82,2028.4,1303,underutilized
2212,AWS,1,1,8,52.16,108,162,667,underutilized
2213,GCP,64,16,32,64.61,59,3334.6,1381,optimal
2214,GCP,32,16,16,90.4,62,2034.8,1140,overutilized
2215,AWS,64,16,32,50.03,56,3328.6,1417,underutilized
2216,AWS,4,1,8,46,71,283,988,underutilized
2217,AWS,16,4,16,66.25,115,894,853,optimal
2218,AWS,1,1,8,52.42,110,162.4,865,underutilized
2219,On-prem,8,2,8,81.04,208,389,896,overutilized
2220,GCP,1,1,8,76.65,124,162,695,optimal
2221,AWS,4,2,8,92.89,149,323.8,896,overutilized
2222,AWS,16,4,16,43.94,134,896,1097,underutilized
2223,On-prem,2,1,8,76.7,90,161.6,657,optimal
2224,GCP,16,4,16,61.57,95,896.4,1120,optimal
2225,AWS,32,16,16,40.27,60,2031.8,1215,underutilized
2226,GCP,4,1,8,48.76,126,285,785,underutilized
2227,On-prem,16,8,16,80.78,52,845.8,936,overutilized
2228,GCP,32,16,16,94.91,85,2026,1023,overutilized
2229,GCP,1,1,8,40.86,118,161.8,955,underutilized
2230,GCP,2,1,8,66.22,135,202.4,670,optimal
2231,GCP,1,1,8,84.93,128,161.8,697,overutilized
2232,GCP,8,2,8,88.88,44,486.4,1027,overutilized
2233,GCP,8,2,8,58.42,126,488.6,836,underutilized
2234,GCP,8,1,8,97.81,130,447,742,overutilized
2235,GCP,32,16,16,45.21,83,2024.4,984,underutilized
2236,AWS,16,4,16,88.26,139,889.6,1004,overutilized
2237,On-prem,8,2,8,92.87,297,389.6,821,overutilized
2238,AWS,64,16,32,60.31,49,3345,1371,optimal
2239,AWS,16,8,16,44.37,140,1056.6,1085,underutilized
2240,AWS,32,16,16,65.05,127,2035.4,965,optimal
2241,GCP,4,2,8,70.1,86,325.8,920,optimal
2242,On-prem,32,16,16,96.45,217,1624.8,1083,overutilized
2243,AWS,32,16,16,85.83,131,2020,982,overutilized
2244,AWS,8,1,8,56.9,82,445.4,892,underutilized
2245,AWS,4,2,8,81.12,109,325.4,819,overutilized
2246,On-prem,8,1,8,78.07,265,359,904,optimal
2247,AWS,1,1,8,57.8,55,162.8,713,underutilized
2248,GCP,2,1,8,56.86,49,202,682,underutilized
2249,AWS,32,16,16,61.92,140,2025.6,1077,optimal
2250,On-prem,64,16,32,44.8,217,2662,1258,underutilized
2251,GCP,1,1,8,87.5,125,162.6,924,overutilized
2252,AWS,8,2,8,69.11,133,489.4,1014,optimal
2253,On-prem,64,16,32,40.47,203,2656,1241,underutilized
2254,AWS,1,1,8,80.31,124,162.4,748,overutilized
2255,On-prem,1,1,8,84.2,231,130.2,907,overutilized
2256,GCP,8,1,8,95.54,97,447.4,724,overutilized
2257,AWS,2,1,8,78.38,53,202,762,optimal
2258,GCP,4,1,8,67.25,108,284.6,965,optimal
2259,AWS,1,1,8,78.09,133,161.8,846,optimal
2260,AWS,32,16,16,55.45,136,2030.8,1172,underutilized
2261,GCP,64,16,32,40.03,90,3318.2,1353,underutilized
2262,AWS,4,1,8,69.87,59,284.4,667,optimal
2263,AWS,64,16,32,44.95,50,3321.6,1261,underutilized
2264,GCP,16,4,16,76.58,48,892,957,optimal
2265,GCP,4,2,8,88.18,54,323.2,782,overutilized
2266,GCP,16,4,16,42.12,41,891.8,807,underutilized
2267,GCP,4,1,8,77.42,118,285.2,748,optimal
2268,GCP,8,1,8,85.05,128,445.2,883,overutilized
2269,GCP,1,1,8,77.03,100,161.6,644,optimal
2270,AWS,2,1,8,40.63,42,203.4,833,underutilized
2271,AWS,32,16,16,86.16,53,2027.6,1337,overutilized
2272,AWS,2,1,8,89.4,95,202.8,908,overutilized
2273,On-prem,64,16,32,95.27,80,2673.4,1637,overutilized
2274,AWS,2,1,8,48.65,63,202.6,734,underutilized
2275,AWS,16,4,16,76.9,135,889,1006,optimal
2276,AWS,16,4,16,48.89,78,893.2,858,underutilized
2277,AWS,1,1,8,55.8,145,163.2,821,overutilized
2278,On-prem,16,4,16,74.33,140,716.6,1104,optimal
2279,GCP,4,2,8,92.08,66,325.8,957,overutilized
2280,On-prem,8,2,8,81.71,155,390,867,overutilized
2281,AWS,4,1,8,89.3,105,283.2,702,overutilized
2282,AWS,16,8,16,61.93,69,1056.8,821,optimal
2283,AWS,64,16,32,63.81,145,3323.2,1763,overutilized
2284,AWS,2,1,8,67.27,140,203.2,816,optimal
2285,AWS,4,1,8,57.37,98,284.8,869,underutilized
2286,On-prem,4,1,8,83.3,212,228.2,791,overutilized
2287,GCP,16,4,16,44.85,106,896.6,993,underutilized
2288,On-prem,1,1,8,62.1,278,130.2,726,optimal
2289,GCP,16,4,16,81.42,80,891.2,878,overutilized
2290,AWS,4,2,8,65.14,92,324.8,797,optimal
2291,GCP,16,8,16,62.39,131,1056,1063,optimal
2292,AWS,32,16,16,49.58,64,2021.2,1117,underutilized
2293,AWS,32,16,16,82.39,70,2029.8,1272,overutilized
2294,GCP,32,16,16,87.48,136,2037.4,1069,overutilized
2295,AWS,1,1,8,87.11,144,162,701,overutilized
2296,AWS,32,16,16,70.3,70,2030,1048,optimal
2297,AWS,16,4,16,47.16,83,896.4,1109,underutilized
2298,GCP,32,16,16,62.57,92,2038.8,1166,optimal
2299,AWS,16,8,16,67.71,42,1054.4,1109,optimal
2300,GCP,1,1,8,44.99,147,161.8,804,overutilized
2301,AWS,2,1,8,95.49,103,203.6,815,overutilized
2302,AWS,8,1,8,64.95,102,447.6,849,optimal
2303,AWS,32,16,16,45.14,112,2033.8,930,underutilized
2304,GCP,4,2,8,55.55,150,324,812,overutilized
2305,On-prem,4,2,8,73.49,133,259.8,844,optimal
2306,GCP,4,2,8,80.88,121,326,714,overutilized
2307,AWS,16,4,16,82.22,97,897.2,967,overutilized
2308,AWS,1,1,8,96.87,112,162.2,939,overutilized
2309,AWS,2,1,8,53.03,48,203,727,underutilized
2310,On-prem,2,1,8,57.78,161,162.2,966,underutilized
2311,GCP,16,8,16,54.76,78,1056.4,930,underutilized
2312,AWS,32,16,16,89.36,106,2023.8,1288,overutilized
2313,GCP,2,1,8,52.67,121,202.4,666,underutilized
2314,AWS,4,1,8,87.96,87,283.8,983,overutilized
2315,AWS,64,16,32,68.55,112,3326.8,1287,optimal
2316,AWS,4,1,8,60.2,62,284.2,835,optimal
2317,GCP,2,1,8,54.44,68,203,887,underutilized
2318,AWS,4,2,8,89.93,118,325.8,897,overutilized
2319,On-prem,2,1,8,85.39,275,163,797,overutilized
2320,AWS,8,1,8,65.98,149,448,788,overutilized
2321,On-prem,4,1,8,80.83,60,226.4,788,overutilized
2322,GCP,1,1,8,59.95,89,163.2,710,underutilized
2323,AWS,64,16,32,56.24,116,3341.6,1300,underutilized
2324,On-prem,8,1,8,69.68,192,358.8,881,optimal
2325,AWS,32,16,16,85.57,100,2035.6,1173,overutilized
2326,AWS,16,8,16,81.89,113,1051.8,908,overutilized
2327,AWS,1,1,8,93.45,134,161.8,653,overutilized
2328,AWS,1,1,8,77.48,107,162.8,795,optimal
2329,GCP,8,1,8,53.8,70,447.2,967,underutilized
2330,AWS,4,2,8,81.39,132,325,882,overutilized
2331,AWS,16,8,16,91.53,134,1050.8,974,overutilized
2332,AWS,16,4,16,74.89,140,895,803,optimal
2333,AWS,8,2,8,77.67,144,487.4,997,overutilized
2334,On-prem,2,1,8,96.02,211,163.2,968,overutilized
2335,AWS,64,16,32,74.19,87,3328.2,1708,overutilized
2336,AWS,8,1,8,49.98,42,444.6,791,underutilized
2337,On-prem,2,1,8,51.06,162,163,835,underutilized
2338,GCP,16,4,16,95.04,54,897,1051,overutilized
2339,On-prem,32,16,16,40.91,140,1619.8,995,underutilized
2340,AWS,64,16,32,77.89,86,3334.2,1249,optimal
2341,AWS,4,2,8,95.3,88,325.2,955,overutilized
2342,GCP,64,16,32,91.77,73,3337.6,1369,overutilized
2343,AWS,64,16,32,80.48,125,3337.8,1523,overutilized
2344,GCP,4,2,8,70.58,48,324.4,869,optimal
2345,GCP,32,16,16,80.02,45,2031,1046,overutilized
2346,GCP,16,8,16,86.54,79,1051.2,1084,overutilized
2347,On-prem,4,1,8,61.92,229,226.4,677,optimal
2348,AWS,2,1,8,69.39,80,202.4,884,optimal
2349,AWS,1,1,8,78.23,92,162.6,828,optimal
2350,On-prem,8,1,8,69.98,231,358.8,978,optimal
2351,AWS,4,1,8,60.8,141,284.4,999,overutilized
2352,AWS,16,4,16,63.35,148,894.2,1042,overutilized
2353,AWS,1,1,8,52.82,43,163,677,underutilized
2354,GCP,2,1,8,76.99,91,204,914,optimal
2355,GCP,16,8,16,43.34,133,1053.4,1012,underutilized
2356,GCP,4,2,8,75.11,133,325.6,907,optimal
2357,On-prem,16,4,16,48.24,243,711.8,1069,underutilized
2358,GCP,8,2,8,68.41,108,487.2,864,optimal
2359,AWS,16,4,16,41.17,54,897,933,underutilized
2360,GCP,64,16,32,88.39,57,3314,1638,overutilized
2361,AWS,32,16,16,40.86,99,2033.4,1154,underutilized
2362,GCP,2,1,8,41.49,135,202.2,927,underutilized
2363,GCP,8,1,8,90.98,49,445.2,782,overutilized
2364,On-prem,64,16,32,55.76,143,2671.6,1303,underutilized
2365,On-prem,2,1,8,42.79,66,162,969,underutilized
2366,AWS,4,1,8,94.39,113,284.8,932,overutilized
2367,AWS,2,1,8,97.99,92,202,785,overutilized
2368,AWS,64,16,32,43.41,41,3327.6,1740,overutilized
2369,AWS,32,16,16,97.84,118,2027.2,1312,overutilized
2370,GCP,32,16,16,80.41,66,2031,1279,overutilized
2371,AWS,64,16,32,44.19,134,3337.6,1463,underutilized
2372,GCP,64,16,32,63.92,47,3339.8,1307,optimal
2373,On-prem,32,16,16,76.08,71,1630.6,1107,optimal
2374,GCP,4,2,8,43.55,126,325.4,772,underutilized
2375,AWS,2,1,8,43.03,147,202.6,915,overutilized
2376,AWS,8,2,8,82.92,86,486.2,917,overutilized
2377,On-prem,64,16,32,71.9,242,2663.8,1548,optimal
2378,GCP,8,1,8,73.86,43,448.4,829,optimal
2379,AWS,4,2,8,96.11,150,323.2,728,overutilized
2380,AWS,2,1,8,78.65,63,203.6,788,optimal
2381,AWS,32,16,16,95.45,51,2031.6,1231,overutilized
2382,On-prem,4,1,8,82.71,280,227.8,667,overutilized
2383,AWS,2,1,8,59.84,50,202,747,underutilized
2384,AWS,1,1,8,66.78,75,161.6,827,optimal
2385,GCP,2,1,8,68.73,130,202,842,optimal
2386,AWS,64,16,32,81.73,135,3335.4,1369,overutilized
2387,AWS,16,4,16,57.41,146,894.8,803,overutilized
2388,AWS,64,16,32,49.57,113,3343.8,1349,underutilized
2389,AWS,4,1,8,69.4,59,283.4,812,optimal
2390,AWS,32,16,16,81.03,42,2034.6,944,overutilized
2391,On-prem,8,1,8,59.34,300,358.8,901,overutilized
2392,AWS,64,16,32,59.41,129,3327.4,1774,overutilized
2393,AWS,64,16,32,57.97,43,3322,1574,underutilized
2394,GCP,64,16,32,71.89,132,3327,1201,optimal
2395,On-prem,8,1,8,65.25,264,358.6,730,optimal
2396,AWS,4,2,8,74.71,140,324.2,820,optimal
2397,AWS,8,2,8,85.99,132,486.4,980,overutilized
2398,AWS,64,16,32,48.58,75,3331.2,1230,underutilized
2399,GCP,4,2,8,75.86,63,323.8,691,optimal
2400,AWS,4,2,8,87.5,113,325.6,963,overutilized
2401,On-prem,64,16,32,77.49,132,2673.4,1513,optimal
2402,GCP,4,1,8,43.46,146,283.2,879,overutilized
2403,AWS,1,1,8,84.27,137,163,698,overutilized
2404,GCP,64,16,32,41.94,44,3315.4,1698,underutilized
2405,AWS,16,8,16,66.35,77,1051.8,1005,optimal
2406,AWS,32,16,16,92.79,59,2028,1258,overutilized
2407,On-prem,2,1,8,44.22,123,162,844,underutilized
2408,GCP,8,2,8,45.04,68,487.4,950,underutilized
2409,On-prem,16,8,16,97.72,225,842.6,1003,overutilized
2410,GCP,32,16,16,62.72,123,2021.8,1036,optimal
2411,AWS,8,2,8,55.79,88,487.2,880,underutilized
2412,On-prem,16,4,16,41.96,55,713,942,underutilized
2413,AWS,64,16,32,57.42,146,3312.8,1307,overutilized
2414,GCP,1,1,8,94.32,73,161.8,867,overutilized
2415,AWS,2,1,8,70.33,103,203,847,optimal
2416,GCP,16,8,16,70.71,106,1057.2,1084,optimal
2417,AWS,32,16,16,53.93,117,2034.6,1169,underutilized
2418,On-prem,32,16,16,56.7,229,1628.8,1185,underutilized
2419,On-prem,64,16,32,59.02,113,2658.8,1503,underutilized
2420,AWS,1,1,8,49.51,129,162.4,957,underutilized
2421,On-prem,16,8,16,68.13,108,846.4,889,optimal
2422,On-prem,1,1,8,73.3,106,130.6,926,optimal
2423,AWS,8,1,8,71.71,141,448,1047,overutilized
2424,AWS,16,8,16,60.32,141,1052.4,944,overutilized
2425,AWS,16,4,16,86.23,57,894,900,overutilized
2426,AWS,8,2,8,85.74,141,485,850,overutilized
2427,AWS,4,2,8,82.63,43,325.2,801,overutilized
2428,On-prem,32,16,16,44.81,110,1621.6,1293,underutilized
2429,GCP,64,16,32,68.86,108,3318.6,1598,optimal
2430,On-prem,16,4,16,79.86,166,712.8,1029,optimal
2431,On-prem,2,1,8,69.5,116,163,890,optimal
2432,AWS,32,16,16,72.13,146,2024.2,1304,overutilized
2433,On-prem,16,4,16,92.78,221,714.6,923,overutilized
2434,AWS,4,1,8,96.78,88,284,727,overutilized
2435,AWS,1,1,8,67.88,54,162.6,658,optimal
2436,AWS,32,16,16,94.22,47,2031.6,1000,overutilized
2437,AWS,16,8,16,90.1,104,1059.4,1038,overutilized
2438,GCP,16,8,16,74.57,133,1053.6,1130,optimal
2439,GCP,4,2,8,81.43,121,323.2,916,overutilized
2440,GCP,32,16,16,75.17,107,2024.4,962,optimal
2441,AWS,8,2,8,81.02,58,486.4,980,overutilized
2442,AWS,4,1,8,94.52,142,285.6,992,overutilized
2443,GCP,64,16,32,78.63,43,3340,1599,optimal
2444,AWS,64,16,32,58.32,79,3317.8,1369,underutilized
2445,GCP,16,4,16,55.92,89,894.6,865,underutilized
2446,AWS,4,2,8,42.7,120,324.6,811,underutilized
2447,GCP,2,1,8,65.9,110,202.8,894,optimal
2448,GCP,64,16,32,49.59,46,3344.6,1495,underutilized
2449,AWS,64,16,32,87.73,143,3315,1663,overutilized
2450,AWS,32,16,16,50.29,56,2026.6,1177,underutilized
2451,AWS,4,1,8,84.15,126,284.4,771,overutilized
2452,AWS,16,4,16,40.31,42,897.2,838,underutilized
2453,On-prem,4,1,8,69.01,188,227.6,854,optimal
2454,On-prem,2,1,8,76.63,274,161.8,674,optimal
2455,AWS,1,1,8,86.13,101,161.8,833,overutilized
2456,GCP,8,1,8,74.71,128,446,711,optimal
2457,AWS,4,2,8,78.33,120,324.4,851,optimal
